run_id,vehicle_id,timestamp_min,current_node,next_node,route_index,delayed_min,reroute_triggered
run_2026-02-11_00-26-18,2,135.0,12,5,0,0.0,True
run_2026-02-11_00-26-18,1,140.0,11,9,0,0.0,True
run_2026-02-11_00-26-18,2,140.0,12,5,0,0.0,True
run_2026-02-11_00-26-18,1,145.0,11,9,0,0.0,True
run_2026-02-11_00-26-18,2,145.0,5,7,0,7.1,True
run_2026-02-11_00-26-18,1,150.0,11,9,0,0.0,True
run_2026-02-11_00-26-18,2,150.0,5,7,0,2.1,True
run_2026-02-11_00-26-18,1,155.0,11,9,0,0.0,True
run_2026-02-11_00-26-18,2,155.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,160.0,9,2,0,5.7,True
run_2026-02-11_00-26-18,2,160.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,165.0,9,2,0,0.7,True
run_2026-02-11_00-26-18,2,165.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,170.0,9,2,0,0.0,True
run_2026-02-11_00-26-18,2,170.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,175.0,9,2,0,0.0,True
run_2026-02-11_00-26-18,2,175.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,180.0,2,8,0,5.4,True
run_2026-02-11_00-26-18,2,180.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,185.0,2,8,0,0.4,True
run_2026-02-11_00-26-18,2,185.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,190.0,2,8,0,0.0,True
run_2026-02-11_00-26-18,2,190.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,195.0,2,8,0,0.0,True
run_2026-02-11_00-26-18,2,195.0,5,7,0,0.0,True
run_2026-02-11_00-26-18,1,200.0,2,8,0,0.0,True
run_2026-02-11_00-26-18,1,205.0,2,8,0,0.0,True
run_2026-02-11_00-26-18,2,205.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,1,210.0,2,8,0,0.0,True
run_2026-02-11_00-26-18,2,210.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,2,215.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,1,220.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,2,220.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,1,225.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,2,225.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,1,230.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,2,230.0,7,13,0,0.0,True
run_2026-02-11_00-26-18,1,235.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,2,235.0,13,,0,0.0,True
run_2026-02-11_00-26-18,1,240.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,1,245.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,1,250.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,1,255.0,8,13,0,0.0,True
run_2026-02-11_00-26-18,1,260.0,13,,0,0.0,True
